ticker,total_years,avg_net_income,profit_consistency_ratio,net_income_volatility,income_growth,quality_score,stability_score,growth_score,allocation_score,portfolio_decision
BSX,5,1547689730,0.8,1749216309,-2853877002,3,5,5,4,Strong Allocation
LVS,5,658642245.4,0.6,1883364369,-1447485588,3,5,5,4,Strong Allocation
XRX,5,165661959.4,0.6,737497805.2,-1401691953,3,5,5,4,Strong Allocation
CNLPL,5,839671233.6,0.8,737806928.8,-1339279173,3,5,5,4,Strong Allocation
ES,5,857150255.8,0.8,740517355,-1361239522,3,5,5,4,Strong Allocation
MHK,5,374553900.4,0.8,574700182.3,-1155815892,3,5,5,4,Strong Allocation
FL,5,344766833.9,0.8,444964474.9,-846720756.5,3,5,5,4,Strong Allocation
WOOF,5,-241623123.9,0.4,615954094.6,-1229117654,3,5,5,4,Strong Allocation
ILMN,5,-658339439.2,0.6,2367457764,-2148225698,3,5,5,4,Strong Allocation
WRK,5,53699596,0.6,1190279053,-2557431668,3,5,5,4,Strong Allocation
DISH,5,1325844865,0.8,1450289912,-2586885760,3,5,5,4,Strong Allocation
LUV,5,240408363.2,0.8,1915570064,-1745749050,3,5,5,4,Strong Allocation
W,5,-593118466.5,0.2,613906322.6,195785414.6,4,5,2,3.9,Moderate Allocation
SAGE,5,-322621999.9,0.2,543406491.7,188122884.8,4,5,2,3.9,Moderate Allocation
ALNY,5,-842162160.6,0,264613630.5,438597287.4,5,4,1,3.9,Moderate Allocation
